# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Web Edition
# File: E:/FPGA/sabre_trigger/V1495_Demo1.csv
# Generated on: Sun Apr 24 16:03:03 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength
A[0],Unknown,PIN_G3,1,B1_N0,,,
A[1],Unknown,PIN_F2,1,B1_N0,,,
A[2],Unknown,PIN_C2,1,B1_N0,,,
A[3],Unknown,PIN_F6,1,B1_N0,,,
A[4],Unknown,PIN_D8,2,B2_N1,,,
A[5],Unknown,PIN_C4,2,B2_N2,,,
A[6],Unknown,PIN_A8,2,B2_N1,,,
A[7],Unknown,PIN_B11,2,B2_N1,,,
A[8],Unknown,PIN_J5,1,B1_N1,,,
A[9],Unknown,PIN_D1,1,B1_N0,,,
A[10],Unknown,PIN_C8,2,B2_N1,,,
A[11],Unknown,PIN_H1,1,B1_N1,,,
A[12],Unknown,PIN_H2,1,B1_N1,,,
A[13],Unknown,PIN_H3,1,B1_N1,,,
A[14],Unknown,PIN_G5,1,B1_N0,,,
A[15],Unknown,PIN_C5,2,B2_N2,,,
A[16],Unknown,PIN_D5,2,B2_N2,,,
A[17],Unknown,PIN_F7,2,B2_N2,,,
A[18],Unknown,PIN_H6,1,B1_N1,,,
A[19],Unknown,PIN_C9,2,B2_N1,,,
A[20],Unknown,PIN_D6,2,B2_N2,,,
A[21],Unknown,PIN_D9,2,B2_N1,,,
A[22],Unknown,PIN_E5,1,B1_N0,,,
A[23],Unknown,PIN_A12,2,B2_N1,,,
A[24],Unknown,PIN_A9,2,B2_N1,,,
A[25],Unknown,PIN_C14,2,B2_N0,,,
A[26],Unknown,PIN_F5,1,B1_N0,,,
A[27],Unknown,PIN_B12,2,B2_N1,,,
A[28],Unknown,PIN_B6,2,B2_N2,,,
A[29],Unknown,PIN_J3,1,B1_N1,,,
A[30],Unknown,PIN_C12,2,B2_N1,,,
A[31],Unknown,PIN_A13,2,B2_N0,,,
B[0],Unknown,PIN_P5,1,B1_N2,,,
B[1],Unknown,PIN_P2,1,B1_N2,,,
B[2],Unknown,PIN_W6,4,B4_N2,,,
B[3],Unknown,PIN_Y8,4,B4_N1,,,
B[4],Unknown,PIN_U8,4,B4_N1,,,
B[5],Unknown,PIN_U6,4,B4_N2,,,
B[6],Unknown,PIN_M4,1,B1_N1,,,
B[7],Unknown,PIN_M2,1,B1_N1,,,
B[8],Unknown,PIN_J14,3,B3_N1,,,
B[9],Unknown,PIN_H5,1,B1_N1,,,
B[10],Unknown,PIN_G6,1,B1_N0,,,
B[11],Unknown,PIN_B4,2,B2_N2,,,
B[12],Unknown,PIN_C11,2,B2_N1,,,
B[13],Unknown,PIN_D11,2,B2_N1,,,
B[14],Unknown,PIN_C10,2,B2_N1,,,
B[15],Unknown,PIN_D10,2,B2_N1,,,
B[16],Unknown,PIN_P3,1,B1_N2,,,
B[17],Unknown,PIN_V3,1,B1_N2,,,
B[18],Unknown,PIN_W8,4,B4_N1,,,
B[19],Unknown,PIN_W9,4,B4_N1,,,
B[20],Unknown,PIN_P6,1,B1_N2,,,
B[21],Unknown,PIN_M7,1,B1_N1,,,
